id,left,top,right,bottom,_mean,Chlorideme,Fluorideme,Hardnessme,SARmean,Sulfatemea,TDSmean,WellDepthm,Joined lay,LR_prob_Y,NBC_prob_Y,LR_pred_Y,label_NBCpred
138,-115105.9346,1085472.297,-110277.9026,1080644.265,99.33313386,99.33313386,0.702199107,211.0421341,11.62539068,190.1710108,720.2374211,167.3352938,1,,,,
139,-115105.9346,1080644.265,-110277.9026,1075816.233,48.3100761,48.3100761,0.52931638,114.6323798,8.160506617,101.8505213,400.0755302,141.8941081,1,7.99E-05,6.11E-07,0,0
140,-115105.9346,1075816.233,-110277.9026,1070988.201,58.82632368,58.82632368,0.810617055,142.4038847,13.40000426,141.4290328,558.8368813,228.0965536,0,,,,
141,-115105.9346,1070988.201,-110277.9026,1066160.169,61.13189392,61.13189392,0.876807648,159.1681758,14.74721708,150.1669106,609.3109074,261.7826298,1,,,,
142,-115105.9346,1066160.169,-110277.9026,1061332.137,59.42588851,59.42588851,0.764826121,157.5902933,12.75314981,124.1263005,559.036972,238.2913119,1,,,,
143,-115105.9346,1061332.137,-110277.9026,1056504.105,59.28841031,59.28841031,0.688896008,153.3011941,11.98659692,115.6090149,545.512284,221.4691234,1,,,,
144,-115105.9346,1056504.105,-110277.9026,1051676.073,49.16963053,49.16963053,0.786090856,110.8591109,15.26472173,152.4878601,604.7254695,281.6340127,1,,,,
145,-115105.9346,1051676.073,-110277.9026,1046848.041,47.37889266,47.37889266,0.722110603,114.0656085,11.84619679,157.6446651,589.2560061,275.8680572,1,0.000450868,6.66E-05,0,0
146,-115105.9346,1046848.041,-110277.9026,1042020.009,39.69251623,39.69251623,0.684687822,111.8472292,12.05001657,155.1721567,583.2017441,301.6746797,1,0.002201323,0.041548588,0,0
147,-115105.9346,1042020.009,-110277.9026,1037191.977,41.45998636,41.45998636,0.790700163,113.22332,15.93154132,182.7318587,652.7849541,318.1900192,0.800000012,,,,
148,-115105.9346,1037191.977,-110277.9026,1032363.945,43.06990332,43.06990332,0.863083127,125.825358,16.95525512,194.7725067,685.8148784,308.6735584,0.800000012,,,,
149,-115105.9346,1032363.945,-110277.9026,1027535.913,39.84932911,39.84932911,0.882792313,148.5761022,13.05066524,168.45619,620.1452805,257.8472668,0,0.000871161,0.001772878,0,0
150,-115105.9346,1027535.913,-110277.9026,1022707.881,51.78764178,51.78764178,0.832438128,297.7656661,10.96637552,267.9756753,813.5903992,235.334296,2,0.006037232,0.077359702,0,0
151,-115105.9346,1022707.881,-110277.9026,1017879.849,54.85281006,54.85281006,0.908109317,314.7736347,14.02318849,278.7744663,898.4138582,264.5752514,0.800000012,0.000138361,0.000846758,0,0
152,-115105.9346,1017879.849,-110277.9026,1013051.817,56.8705174,56.8705174,1.112245468,206.949851,23.1684205,257.4487333,874.9862073,330.0272616,0,,,,
153,-115105.9346,1013051.817,-110277.9026,1008223.785,61.13917111,61.13917111,1.228972617,150.270597,28.44685714,248.1281765,876.1968489,387.5188675,0,,,,
154,-115105.9346,1008223.785,-110277.9026,1003395.753,65.55287857,65.55287857,1.320189341,117.8466135,31.65212559,244.3151324,888.4570618,426.8963257,0,,,,
155,-115105.9346,1003395.753,-110277.9026,998567.7206,67.37959035,67.37959035,1.364217642,94.00145339,34.01225499,236.3596923,891.4206092,447.1329002,0,,,,
156,-115105.9346,998567.7206,-110277.9026,993739.6886,67.95219881,67.95219881,1.373379794,78.00927691,35.56547279,227.4934035,888.1293816,454.7568373,0,,,,
157,-115105.9346,993739.6886,-110277.9026,988911.6566,74.1213007,74.1213007,1.433445214,75.4305111,36.10482431,234.4675105,910.8666331,473.3364819,1,,,,
158,-115105.9346,988911.6566,-110277.9026,984083.6246,81.95827821,81.95827821,1.504598299,78.1156792,36.14820566,246.1650171,939.7466226,495.5141797,1,,,,
159,-115105.9346,984083.6246,-110277.9026,979255.5926,86.56033184,86.56033184,1.53869515,80.39176475,35.95341755,251.4754525,952.3008445,510.3709721,1,,,,
160,-115105.9346,979255.5926,-110277.9026,974427.5606,88.24088598,88.24088598,1.543491189,82.01612407,35.59664199,251.3678893,951.0821224,519.3203495,1,,,,
161,-115105.9346,974427.5606,-110277.9026,969599.5286,88.4262004,88.4262004,1.534443173,83.20699711,35.18566309,248.6417675,943.3090828,525.1422919,1,,,,
162,-115105.9346,969599.5286,-110277.9026,964771.4966,88.09208201,88.09208201,1.521123197,84.07460739,34.79461326,245.0877032,933.7155908,529.5366578,1,,,,
163,-115105.9346,964771.4966,-110277.9026,959943.4646,87.89755894,87.89755894,1.511459806,84.46407711,34.53678188,242.1855907,926.4342549,533.5538157,0,,,,
